name,total_screw_length,body_screw_length,body_screw_width,head_screw_width,head_max_loc,thread_count
flatheadphillips_sheetmetal_stainless_#06x0p50,0.5,0.332432,0.140541,0.259459,0.043243,7
flatheadphillips_sheetmetal_stainless_#06x0p50,0.518919,0.397297,0.145946,0.264865,0.018919,8
flatheadphillips_sheetmetal_stainless_#06x0p50,0.5,0.337838,0. 137838,0.259459,0.037838,7
flatheadphillips_sheetmetal_stainless_#06x0p50,0.497297,0.418919,0.148649,0.264865,0.02973,9
flatheadphillips_sheetmetal_stainless_#06x0p50,0.505405,0.351351,0.145946,0.264865,0.037838,7
flatheadphillips_sheetmetal_stainless_#06x0p50,0.508108,0.340541,0.140541,0.264865,0.048649,5
flatheadphillips_sheetmetal_stainless_#06x0p50,0.505405,0.383784,0.156757,0.264865,0.032432,8
flatheadphillips_sheetmetal_stainless_#06x0p50,0.494595,0.343243,0.151351,0.259459,0.016216,7
flatheadphillips_sheetmetal_stainless_#06x0p50,0.508108,0.383784,0.135135,0.264865,0.062162,8
flatheadphillips_sheetmetal_stainless_#06x0p50,0.497297,0.4,0.140541,0.264865,0.018919,8
flatheadphillips_sheetmetal_stainless_#06x1p50,1.543243,1.381081,0.145946,0.259459,0.037838,28
flatheadphillips_sheetmetal_stainless_#06x1p50,1.516216,1.359459,0.135135,0.254054,0.037838,28
flatheadphillips_sheetmetal_stainless_#06x1p50,1.554054,1.4,0.135135,0.259459,0.037838,27
flatheadphillips_sheetmetal_stainless_#06x1p50,1.510811,1.375676,0.145946,0.248649,0.027027,28
flatheadphillips_sheetmetal_stainless_#06x1p50,1.505405,1.364865,0.140541,0.254054,0.035135,28
flatheadphillips_sheetmetal_stainless_#06x1p50,1.518919,1.375676,0.140541,0.254054,0.02973,28
flatheadphillips_sheetmetal_stainless_#06x1p50,1.513514,1.367568,0.145946,0.254054,0.024324,27
flatheadphillips_sheetmetal_stainless_#06x1p50,1.527027,1.402703,0.151351,0.259459,0.043243,29
flatheadphillips_sheetmetal_stainless_#06x1p50,1.497297,1.378378,0.140541,0.254054,0.024324,29
flatheadphillips_sheetmetal_stainless_#06x1p50,1.516216,1.372973,0.145946,0.254054,0.037838,27
flatheadphillips_sheetmetal_stainless_#10x1p50,1.508108,1.316216,0.189189,0.372973,0.054054,21
flatheadphillips_sheetmetal_stainless_#10x1p50,1.481081,1.291892,0.189189,0.367568,0.02973,21
flatheadphillips_sheetmetal_stainless_#10x1p50,1.478378,1.343243,0.2,0.367568,0.02973,22
flatheadphillips_sheetmetal_stainless_#10x1p50,1.508108,1.3,0.194595,0.372973,0.040541,20
flatheadphillips_sheetmetal_stainless_#10x1p50,1.524324,1.305405,0.189189,0.372973,0.056757,20
flatheadphillips_sheetmetal_stainless_#10x1p50,1.524324,1.305405,0.189189,0.367568,0.048649,20
flatheadphillips_sheetmetal_stainless_#10x1p50,1.516216,1.289189,0.194595,0.372973,0.040541,20
flatheadphillips_sheetmetal_stainless_#10x1p50,1.518919,1.313514,0.183784,0.372973,0.043243,21
flatheadphillips_sheetmetal_stainless_#10x1p50,1.483784,1.272973,0.2,0.367568,0.032432,21
flatheadphillips_sheetmetal_stainless_#10x1p50,1.483784,1.275676,0.194595,0.367568,0.027027,20
flatheadphillips_sheetmetal_stainless_#10x2p50,2.383784,2.156757,0.178378,0.232432,0.205405,34
flatheadphillips_sheetmetal_stainless_#10x2p50,2.516216,2.383784,0.189189,0.367568,0.051351,37
flatheadphillips_sheetmetal_stainless_#10x2p50,2.537838,2.362162,0.172973,0.367568,0.056757,36
flatheadphillips_sheetmetal_stainless_#10x2p50,2.556757,2.378378,0.183784,0.372973,0.054054,37
flatheadphillips_sheetmetal_stainless_#10x2p50,2.535135,2.383784,0.189189,0.367568,0.064865,37
flatheadphillips_sheetmetal_stainless_#10x2p50,2.52973,2.4,0.172973,0.367568,0.054054,36
flatheadphillips_sheetmetal_stainless_#10x2p50,2.524324,2.410811,0.205405,0.372973,0.059459,37
flatheadphillips_sheetmetal_stainless_#10x2p50,2.516216,2.397297,0.172973,0.362162,0.051351,37
flatheadphillips_sheetmetal_stainless_#10x2p50,2.375676,2.340541,0.183784,0.183784,0.002703,37
flatheadphillips_sheetmetal_stainless_#10x2p50,2.543243,2.378378,0.178378,0.362162,0.062162,37
hexheadslotted_sheetmetal_zinc_#14x1p50,1.716216,1.448649,0.243243,0.513514,0.178378,20
hexheadslotted_sheetmetal_zinc_#14x1p50,1.721622,1.42973,0.232432,0.508108,0.178378,20
hexheadslotted_sheetmetal_zinc_#14x1p50,1.72973,1.456757,0.243243,0.491892,0.186486,20
hexheadslotted_sheetmetal_zinc_#14x1p50,1.694595,1.47027,0.254054,0.508108,0.151351,20
hexheadslotted_sheetmetal_zinc_#14x1p50,1.683784,1.445946,0.243243,0.502703,0.162162,20
hexheadslotted_sheetmetal_zinc_#14x1p50,1.686486,1.448649,0.248649,0.508108,0.156757,20
hexheadslotted_sheetmetal_zinc_#14x1p50,1.683784,1.443243,0.243243,0.508108,0.167568,20
hexheadslotted_sheetmetal_zinc_#14x1p50,1.683784,1.42973,0.243243,0.502703,0.164865,20
hexheadslotted_sheetmetal_zinc_#14x1p50,1.727027,1.437838,0.254054,0.518919,0.178378,20
hexheadslotted_sheetmetal_zinc_#14x1p50,1.716216,1.451351,0.248649,0.513514,0.17027,20
ovalheadphillips_sheetmetal_stainless_#08x2p00,1.975676,1.783784,0.162162,0.308108,0.043243,32
ovalheadphillips_sheetmetal_stainless_#08x2p00,1.964865,1.781081,0.167568,0.313514,0.037838,32
ovalheadphillips_sheetmetal_stainless_#08x2p00,1.978378,1.778378,0.167568,0.318919,0.048649,31
ovalheadphillips_sheetmetal_stainless_#08x2p00,2,1.8,0.162162,0.313514,0.078378,32
